FILE	         sponSU	 sponMU	 DDIallSUve	 DDIallSUvi	 DDIall_MUve	 DDIallMUvi	 DDI_forSUve	 DDI_forSUvi	 DDI_forMUve	 DDI_forMUvi	 HTISUve	 HTISUvi	 HTIMUve	 HTIMUvi	 PreSUves	 PreSUvis	 PreMUves	 PreMUvis	 PanovSUve	 PanovSUvi	 PanovMUve	 PanovMUvi	 corrSUMUve	 corrSUMUvi	 congruSU	 congruMU	 noiseVe	 noiseVi	 slowdriSU	 slowdriMU	 cross	
m2c169r1.htb	 223.813	 134.014	 218.147	 162.151	 0.000	 0.603	 0.000	 0.000	 -0.343	 -0.264	 -0.043	 0.270	 0.906	 0.450	 0.953	 0.823	 0.000	 0.003	 
m2c170r1.htb	 175.562	 71.157	 19.706	 117.735	 0.001	 0.485	 0.000	 0.473	 0.172	 0.199	 0.166	 -0.264	 0.646	 0.462	 -0.774	 -0.095	 0.009	 0.795	 
m2c183r1.htb	 202.484	 36.890	 301.133	 41.742	 0.000	 0.001	 0.013	 0.000	 -0.212	 -0.094	 -0.766	 -0.352	 0.010	 0.319	 0.306	 0.830	 0.389	 0.003	 
m2c193r1.htb	 218.271	 307.603	 209.550	 262.126	 0.001	 0.000	 0.000	 0.000	 0.159	 -0.110	 0.141	 0.550	 0.698	 0.099	 0.782	 0.749	 0.008	 0.013	 
m2c218r1.htb	 97.215	 236.771	 174.087	 69.686	 0.298	 0.239	 0.000	 0.000	 -0.076	 0.193	 -0.521	 -0.310	 0.122	 0.383	 0.335	 -0.397	 0.344	 0.256	 
m2c231r1.htb	 306.827	 306.278	 192.976	 253.736	 0.000	 0.569	 0.000	 0.000	 -0.150	 -0.381	 0.748	 0.447	 0.013	 0.195	 -0.259	 0.530	 0.470	 0.115	 
m2c232r1.htb	 342.423	 202.119	 272.270	 195.940	 0.539	 0.007	 0.000	 0.000	 0.238	 -0.122	 0.250	 0.310	 0.487	 0.384	 0.342	 0.490	 0.333	 0.151	 
m2c233r1.htb	 247.021	 261.813	 258.413	 226.286	 0.002	 0.480	 0.000	 0.000	 -0.217	 -0.099	 0.700	 0.775	 0.024	 0.008	 0.870	 0.555	 0.001	 0.096	 
m2c370r1.htb	 132.975	 15.103	 9.876	 111.478	 0.000	 0.944	 0.000	 0.000	 0.048	 0.075	 0.067	 0.036	 0.853	 0.921	 -0.264	 0.027	 0.462	 0.941	 
m2c407r1.htb	 170.850	 329.343	 152.241	 221.164	 0.797	 0.727	 0.038	 0.000	 -0.247	 -0.034	 -0.119	 0.284	 0.743	 0.426	 0.055	 0.105	 0.881	 0.772	 
m2c417r1.htb	 30.715	 19.074	 7.440	 349.183	 0.011	 0.023	 0.027	 0.809	 0.076	 -0.216	 -0.050	 0.146	 0.890	 0.687	 0.257	 0.321	 0.473	 0.366	 
m2c418r1.htb	 15.113	 31.383	 125.109	 55.207	 0.549	 0.082	 0.053	 0.030	 0.300	 0.084	 0.337	 0.487	 0.340	 0.153	 0.271	 0.072	 0.448	 0.844	 
m2c425r1.htb	 137.807	 200.116	 100.588	 321.136	 0.555	 0.383	 0.004	 0.000	 -0.631	 -0.392	 0.167	 -0.009	 0.645	 0.981	 -0.209	 -0.014	 0.562	 0.970	 
m2c430r1.htb	 154.658	 181.138	 302.917	 165.165	 0.000	 0.289	 0.000	 0.000	 -0.028	 -0.272	 0.446	 -0.476	 0.197	 0.164	 -0.486	 0.591	 0.154	 0.072	 
m2c443r1.htb	 148.508	 175.475	 341.155	 330.299	 0.022	 0.000	 0.000	 0.076	 -0.204	 0.353	 0.461	 0.873	 0.180	 0.001	 -0.718	 -0.443	 0.019	 0.199	 
m5c40r1.htb	 10.541	 359.139	 170.361	 165.714	 0.000	 0.000	 0.000	 0.000	 -0.198	 0.073	 0.909	 0.861	 0.000	 0.001	 -0.756	 -0.619	 0.011	 0.056	 
m5c62r1.htb	 7.937	 149.068	 124.452	 200.720	 0.520	 0.000	 0.000	 0.000	 -0.054	 0.020	 -0.099	 0.085	 0.786	 0.816	 -0.384	 0.525	 0.273	 0.119	 
m5c65r1.htb	 324.391	 158.533	 130.959	 206.927	 0.072	 0.000	 0.000	 0.000	 -0.183	 0.033	 -0.409	 0.120	 0.240	 0.740	 -0.326	 0.642	 0.358	 0.046	 
m5c69r1.htb	 200.620	 266.667	 18.996	 349.607	 0.000	 0.001	 0.000	 0.008	 -0.336	 0.067	 0.548	 0.863	 0.101	 0.001	 -0.588	 0.190	 0.074	 0.600	 
m5c109r1.htb	 15.581	 89.864	 179.852	 134.230	 0.001	 0.522	 0.000	 0.000	 0.342	 0.046	 0.539	 0.605	 0.108	 0.064	 -0.279	 0.056	 0.436	 0.879	 
m5c111r1.htb	 246.807	 179.810	 6.879	 20.388	 0.005	 0.085	 0.000	 0.007	 0.151	 0.118	 0.256	 0.664	 0.476	 0.036	 -0.140	 -0.788	 0.699	 0.007	 
m5c135r1.htb	 166.743	 277.808	 233.978	 298.936	 0.001	 0.000	 0.002	 0.000	 -0.121	 -0.129	 -0.214	 0.444	 0.552	 0.198	 -0.026	 0.755	 0.943	 0.012	 
m5c150r1.htb	 292.671	 45.786	 242.822	 276.222	 0.091	 0.355	 0.001	 0.001	 -0.012	 -0.355	 -0.343	 0.470	 0.332	 0.171	 0.629	 -0.568	 0.052	 0.087	 
m5c153r1.htb	 189.287	 218.752	 339.574	 222.296	 0.000	 0.000	 0.000	 0.000	 0.193	 0.089	 0.379	 0.337	 0.280	 0.341	 -0.674	 0.890	 0.033	 0.001	 
m5c167r1.htb	 55.474	 358.993	 102.947	 272.952	 0.589	 0.000	 0.032	 0.000	 -0.185	 0.139	 0.489	 -0.785	 0.152	 0.007	 0.514	 0.219	 0.129	 0.543	 
m13c142r2.htb	 282.383	 294.950	 279.440	 253.430	 313.118	 276.072	 0.000	 0.001	 0.050	 0.000	 0.000	 0.000	 -0.039	 -0.144	 0.835	 0.501	 0.003	 0.140	 0.677	 0.784	 0.809	 0.031	 0.007	 0.005	 
